code_id,code_group,subgroup,code_name,type,definition,additional_note,example_quotes_count
app_interpretation_preference.technical_evaluation.graph_interpretation_language,App Interpretation & Preference,Technical Evaluation,Graph Interpretation Language,Deductive,Participants interpretation of their graphs to specific behavior.,"I changed this code to reflect how participants think whether it is easy or not to use the app in practice ways, as for the evaluation part, we will just use the experience valce-analytic tag.",3
app_interpretation_preference.usage_feedback.graph_leading_to_behavior_action,App Interpretation & Preference,Usage Feedback,Graph Leading to Behavior Action,Inductive,How participants used graph feedback to guide/change behavior.,,3
app_interpretation_preference.user_decision_making.settings_customization_participant_agency,App Interpretation & Preference,User-Decision Making,Settings & Customization (Participant Agency),Inductive,Participant makes personal decisions about app or device settings—such as time window displays or alerts—that reflect intentional use and self-guided adaptation.,,1
continuation_intent.sentiment_response.recommendation_sentiment,Continuation Intent,Sentiment Response,Recommendation Sentiment,Deductive,Whether participants are willing to recommend it to others or not.,,3
continuation_intent.technical_evaluation.suggested_improvements,Continuation Intent,Technical Evaluation,Suggested Improvements,Inductive,"Any suggestions the participant gives for improving the device, app, or videos.",,2
continuation_intent.usage_feedback.device_recommendation_rationale,Continuation Intent,Usage Feedback,Device recommendation Rationale,Deductive,The reason participant gives for recommending or not recommending.,,3
device_understanding_usage.device_disruption_reponsiveness.alert_based_reflection,Device Understanding & Usage,Device Disruption & Reponsiveness,Alert-Based Reflection,Inductive,"Mentions of device interference framed positively, as a reminder or beneficial prompt for awareness or behavior change.",,3
device_understanding_usage.device_disruption_reponsiveness.unwanted_interference,Device Understanding & Usage,Device Disruption & Reponsiveness,Unwanted Interference,Deductive,Describes instances where the device disrupted the participant’s routine or caused discomfort.,,1
device_understanding_usage.device_use_insight.check_ins_after_meals,Device Understanding & Usage,Device Use Insight,Check-ins After Meals,Deductive,"When participants describe checking glucose after meals, often to observe how specific foods affected their readings.",,3
device_understanding_usage.device_use_insight.check_ins_before_meals,Device Understanding & Usage,Device Use Insight,Check-ins Before Meals,Deductive,"When participants describe checking their glucose readings before eating, typically as part of a routine or preparation.",,2
device_understanding_usage.device_use_insight.dexcom_cgm_device_clarity_app_usage,Device Understanding & Usage,Device Use Insight,Dexcom CGM Device/Clarity App Usage,Deductive,How participants are engaging with the sensor and sensor app in their day-to-day routines.,,3
device_understanding_usage.device_use_insight.high_frequency_check_ins,Device Understanding & Usage,Device Use Insight,High Frequency Check-ins,Deductive,"Apply when participants mention frequent or repeated check-ins throughout the day, typically as part of a routine.",,3
device_understanding_usage.device_use_insight.increased_use_over_time,Device Understanding & Usage,Device Use Insight,Increased Use Over Time,Deductive,"When participants describe growing frequency of check-ins as their curiosity, motivation, or awareness increases over the participated period.",,1
device_understanding_usage.device_use_insight.random_low_frequency_check_ins,Device Understanding & Usage,Device Use Insight,Random/Low Frequency Check-ins,Deductive,"When participants mention only checking occasionally, sporadically, or without building it into a routine.",,1
experience_valence.sentiment_response.ambivalent_sentiment,Experience Valence,Sentiment Response,Ambivalent Sentiment,Inductive,Participant expresses mixed or conditional feelings—both positive and negative—about a feature or experience.,,3
experience_valence.sentiment_response.negative_sentiment,Experience Valence,Sentiment Response,Negative Sentiment,Inductive,"Participant expresses dissatisfaction, frustration, or discomfort regarding any part of the experience.",,1
experience_valence.sentiment_response.positive_sentiment,Experience Valence,Sentiment Response,Positive Sentiment,Inductive,"Participant expresses positive emotional tone or satisfaction related to any aspect of the device, app, or video.","(When the interviewee specifically mentions a positive emotions, not a extended context when us the coder think the interviewee is expressing a good emotions)",3
experience_valence.technical_evaluation.challenging_to_use,Experience Valence,Technical Evaluation,Challenging to Use,Mixed,"Participant expresses that a feature was confusing, hard to use, or not accessible.",,2
experience_valence.technical_evaluation.easy_to_use,Experience Valence,Technical Evaluation,Easy to Use,Mixed,"Participant indicates that a feature, setup, or interface was intuitive or comfortable.",,3
experience_valence.technical_evaluation.non_function,Experience Valence,Technical Evaluation,Non-Function,Mixed,"Participant describes the device as disruptive to daily life, physically or socially.",,0
